|  # Name  | Display |   Colour  | Marker size | Trail length |           x           |           y           |           z           |          vx          |          vy          |           vz          |     Mass    |
|:--------:|:-------:|:---------:|:-----------:|:------------:|:---------------------:|:---------------------:|:---------------------:|:--------------------:|:--------------------:|:---------------------:|:-----------:|
|    Sun   |   Both  |   Yellow  |      10     |       0      |  -1.068108951496322e9 |  -4.177210908491462e8 |  3.086887010002915e7  |   9.305302656256911  | -1.283177282717393e1 | -1.631700118015769e-1 |  1.98841e30 |
|  Mercury |  Inner  |    grey   |      2      |      125     | -2.212073002393702e10 | -6.682435921338345e10 |  -3.461577076477692e9 |  3.666229234452722e4 | -1.230266984222893e4 |  -4.368336206255391e3 |   3.302e23  |
|   Venus  |  Inner  |   khaki   |     3.5     |      325     | -1.085736592234813e11 |  -3.784241757371509e9 |  6.190088659339075e9  |  8.984650886248794e2 | -3.517203951420625e4 |  -5.320225928762774e2 |  4.8685e24  |
|   Earth  |  Inner  |    blue   |     3.6     |      530     | -2.627903751048988e10 |  1.445101984929515e11 |  3.025245352813601e7  | -2.983052803412253e4 | -5.220465675237847e3 | -1.014855999592612e-1 |  5.97219e24 |
|   Moon   |   None  |    n/a    |     n/a     |      n/a     | -2.659668775178492e10 |  1.442683153167126e11 |  6.680827660505474e7  | -2.926974096801152e4 | -6.020397935372383e3 |   -1.740818643718001  |   7.349e22  |
|   Mars   |  Inner  |    red    |      3      |      990     |  2.069269460321208e11 |  -3.560730804791646e9 |  -5.147912373388755e9 |  1.304308855632638e3 |  2.628158889664284e4 |  5.188465759115868e2  |  6.4171e23  |
|  Jupiter |  Outer  |    tan    |      6      |      55      |  5.978410555886381e11 |  4.387048655696349e11 | -1.520164176015472e10 | -7.892632213479861e3 |  1.115034525890079e4 |  1.305100448596264e2  |  1.89819e27 |
| Ganymede |   None  |    n/a    |     n/a     |      n/a     |  5.968053248329145e11 |  4.384332194660895e11 | -1.522328734690177e10 | -5.113765418796664e3 |  6.421550906276507e2 |  -2.272690061873600e2 |  1.4819e23  |
| Callisto |   None  |    n/a    |     n/a     |      n/a     |  5.985070504965953e11 |  4.404607314417327e11 | -1.513552467401242e10 | -1.555591380938867e4 |  1.411983421029682e4 |  1.260864791234662e2  | 1.075938e23 |
|    Io    |   None  |    n/a    |     n/a     |      n/a     |  5.978858478372957e11 |  4.382845869031813e11 | -1.521589278499892e10 |  9.292668374291811e3 |  1.302536329247139e4 |  4.581466304828696e2  |  8.9319e22  |
|  Europa  |   None  |    n/a    |     n/a     |      n/a     |  5.972089739395823e11 |  4.389225369002028e11 | -1.520468461392254e10 | -1.226471955004536e4 | -1.925433982145555e3 |  -2.954246238557003e2 |  4.79984e22 |
|  Saturn  |  Outer  |   wheat   |     5.5     |      130     |  9.576382282218235e11 |  9.821474893679625e11 | -5.518978744215649e10 | -7.419580377753652e3 |  6.725982467906618e3 |  1.775011906748625e2  |  5.6834e26  |
|   Titan  |   None  |    n/a    |     n/a     |      n/a     |  9.568612740357200e11 |  9.830500532492077e11 | -5.557945337040257e10 | -1.169879722260660e4 |  3.942276878869388e3 |  2.034192751227804e3  |  1.34553e23 |
|  Uranus  |  Outer  | lightblue |     4.7     |      370     |  2.157706372184191e12 | -2.055243161071827e12 | -3.559278015686727e10 |  4.646952926205451e3 |  4.614360059359629e3 |  -4.301869182469398e1 |  8.6813e25  |
|  Neptune |  Outer  |    blue   |     4.7     |      725     |  2.513785451779509e12 | -3.739265135509532e12 |  1.907027540535474e10 |  4.475107938022004e3 |  3.062850546988970e3 |  -1.667293921151841e2 |  1.02409e26 |
|  Triton  |   None  |    n/a    |     n/a     |      n/a     |  2.513485337834573e12 | -3.739285517961089e12 |  1.925835246175838e10 |  5.751707772788690e3 |  6.502827259686770e3 |  2.243198849850350e3  |  2.1389e22  |
|   Pluto  |  Outer  |    grey   |      2      |     1095     | -1.478626316093727e12 | -4.182878001958115e12 |  8.753001980515536e11 |  5.271208561199050e3 | -2.661768636878488e3 |  -1.242019729022856e3 |   1.307e22  |
|  Charon  |   None  |    n/a    |     n/a     |      n/a     | -1.478626356943208e12 | -4.182888404805530e12 |  8.752835897474382e11 |  5.107231584067266e3 | -2.789796541800040e3 |  -1.161460833249591e3 |  1.5897e21  |
